CODIGO,DESCRIPCION DEL ITEM,UNIDAD DE MEDIDA,PRECIO UNITARIO
25500010060,LIJA PARA PULIR AL AGUA Nº 600,UNIDAD,0.0
25500010117,LIJA PARA PULIR FIERRO Nº 600,UNIDAD,0.0
25500010230,LIJA DE AGUA Nº 150,UNIDAD,0.0
25500010259,LIJA PARA PULIR AL AGUA Nº 1500,UNIDAD,0.0
25500010324,LIJA DE BANDA PARA MADERA Nº 100 DE 40 in X 24 cm,UNIDAD,0.0
25500010347,LIJA DE BANDA DE OXIDO DE ALUMINIO GRANO Nº 80 150 mm X 3.00 m,UNIDAD,0.0
25500010436,LIJA ABRASIVA PARA PULIR 22.5 cm X 28 cm GRANO 400,UNIDAD,0.0
30100020024,ALAMBRE DE ACERO GALVANIZADO 1 mm,METRO,0.0
30100020027,ALAMBRE DE ACERO GALVANIZADO N° 16,KILOGRAMO,0.0
30100020033,ALAMBRE DE ACERO GALVANIZADO N° 16,METRO,0.0
30100020035,ALAMBRE CONCERTINA DE ACERO GALVANIZADO 0.64 mm X 6 m,UNIDAD,0.0
30100020037,ALAMBRE CONCERTINA DE ACERO GALVANIZADO 0.60 mm,METRO,0.0
30100020038,ALAMBRE CONCERTINA DE ACERO INOXIDABLE 40 cm X 24 in NAVAJA LARGA,METRO,0.0
30100020040,ALAMBRE CONCERTINA DE ACERO INOXIDABLE CUCHILLA 24 in DE DIAMETRO DE DOBLE LAZO,METRO,0.0
30100020041,ALAMBRE CONCERTINA DE ACERO GALVANIZADO 64 mm X 8 m,UNIDAD,0.0
30100020048,ALAMBRE CONCERTINA DE ACERO GALVANIZADO 5 29/32 in,METRO,0.0
30100020062,ALAMBRE CONCERTINA DE ACERO GALVANIZADO 3 mm,UNIDAD,0.0
30100040028,ALAMBRE DE ACERO CON PÚAS 1.5 mm X 125 mm DE DISTANCIAMIENTO ENTRE PÚAS X 200 m,UNIDAD,0.0
30100070002,ALAMBRE DE ACERO NEGRO RECOCIDO CALIBRE 16,KILOGRAMO,0.0
30100070003,ALAMBRE DE ACERO NEGRO RECOCIDO CALIBRE 16 X 40 Kg,UNIDAD,0.0
30200010241,ANGULO DE ACERO GALVANIZADO 30 cm X 30 cm X 3.00 m PARA DRYWALL,UNIDAD,0.0
30200020109,PARANTE DE ACERO GALVANIZADO 45 mm X 38 mm X 64 mm X 3 m,UNIDAD,0.0
30200020170,RIEL DE ACERO GALVANIZADO 25 mm X 65 mm X 45 cm X 3 m,UNIDAD,0.0
30200020182,RIEL DE ACERO GALVANIZADO PARA DRYWALL 38 mm X 65 mm X 3.00 m,UNIDAD,0.0
30200020185,RIEL DE ACERO GALVANIZADO PARA DRYWALL 45 mm X 90 mm X 3.00 m,UNIDAD,0.0
30200020235,RIEL DE ACERO GALVANIZADO 0.45 mm X 25 mm X 90 mm X 3 m,UNIDAD,0.0
30200040033,PERFIL TEE DE ACERO GALVANIZADO SUSPENSION SECUNDARIA 24 mm X 28.6 mm X 1.22 m,UNIDAD,0.0
30200040037,PERFIL TEE DE ACERO GALVANIZADO SUSPENSION TERCERIA 24 mm X 38 mm X 61 cm,UNIDAD,0.0
30200050027,PLANCHA DE ACERO ESTRUCTURAL LISA LAMINADA EN CALIENTE 2.44 m X 1.22 m X 1.45 mm,UNIDAD,0.0
30200050106,PLANCHA DE ACERO 1/4 in X 25 cm X 25 cm,UNIDAD,0.0
30200050138,PLANCHA DE ACERO GALVANIZADO 1/20 in X 1.20 m X 2.40 m,UNIDAD,0.0
30200050385,PLANCHA DE ACERO GALVANIZADO 4 mm X 4 in X 8 in,UNIDAD,0.0
30200050585,COBERTURA FORMATO CURVO DE ACERO CON ALUZINC 0.35 mm X 1.00 m X 5.16 m,UNIDAD,0.0
30200060007,PLATINA DE ACERO 1/8 in X 1 in X 6 m,UNIDAD,0.0
30200060026,PLATINA DE ACERO 3/16 in X 1 1/2 in X 6 m,UNIDAD,0.0
30200070168,BARRA CUADRADA DE ACERO 2.5 mm X 4 in X 4 in X 6 m,UNIDAD,0.0
30200070169,BARRA CUADRADA DE ACERO 2.5 mm X 40 mm X 60 mm X 6 m,UNIDAD,0.0
30200070170,BARRA CUADRADA DE ACERO 2.5 mm X 40 mm X 80 mm X 6 m,UNIDAD,0.0
30200070171,BARRA RECTANGULAR DE ACERO 2.5 mm X 40 mm X 60 mm X 6 m,UNIDAD,0.0
30200070172,BARRA RECTANGULAR DE ACERO 2.5 mm X 40 mm X 80 mm X 6 m,UNIDAD,0.0
30200120055,CABLE DE ACERO GALVANIZADO 3/8 in,METRO,0.0
30400080030,MALLA DE ACERO INOXIDABLE FORRADO EN PVC 2.00 m X 2.5 mm COCADA 50 mm X 50 mm,M2,0.0
30800030001,VIRUTA DE ACERO Nº 6 X 200 G,UNIDAD,0.0
30800030003,VIRUTA DE ACERO Nº 0 X 200 g,UNIDAD,0.0
30800030004,VIRUTA DE ACERO Nº 3 X 200 g,UNIDAD,0.0
30800030005,VIRUTA DE ACERO Nº 4 X 200 g,UNIDAD,0.0
30800050055,REJILLA DE ACERO INOXIDABLE 1 in X 1/16 in X 40 cm X 50 cm,UNIDAD,0.0
33800010012,MALLA DE FIERRO X 90 cm DE ANCHO COCADA DE 2 mm X 2 mm,METRO,0.0
33800010098,MALLA DE ALAMBRE DE FIERRO GALVANIZADO COCADA 2 in X 2 in,M2,0.0
33900020004,ALAMBRE DE FIERRO GALVANIZADO Nº 16,METRO,0.0
33900020029,ALAMBRE CONCERTINA DE FIERRO GALVANIZADO 18 in X 6 m,UNIDAD,0.0
34000030178,ÁNGULO DE FIERRO 1 in X 1 in X 1/8 in X 6 m,UNIDAD,0.0
34000030181,ÁNGULO DE FIERRO 1/8 in X 1 1/4 in X 1 1/4 in X 6.00 m,UNIDAD,0.0
34000030391,ANGULO PERIMETRAL DE FIERRO GALVANIZADO 15/16 in X 3.00 m,UNIDAD,0.0
34000030434,ANGULO PERIMETRAL DE ACERO GALVANIZADO 9/16in X 22 mm X 3.00 m,UNIDAD,0.0
34000040031,PLANCHA DE FIERRO 3/8 in X 1.20 m X 2.40 m,UNIDAD,0.0
34000040046,PLANCHA DE FIERRO 1/4 in X 1.20 m X 2.40 m,UNIDAD,0.0
34000040085,PLANCHA DE FIERRO GALVANIZADO 1/20 in X 1.20 m X 2.40 m,UNIDAD,0.0
34000040154,PLANCHA DE FIERRO NEGRO 3/8 in X 1.2 m X 2.40 m,UNIDAD,0.0
34000040158,PLANCHA DE FIERRO ESTRIADA 3 mm X 1.20 m X 2.40 m,UNIDAD,0.0
34000040171,PLANCHA DE FIERRO 3/8 in X 1.20 m X 1.20 m,UNIDAD,0.0
34000040222,PLANCHA DE FIERRO LISO 1/4 in X 1.20 m X 2.40 m,UNIDAD,0.0
34000060143,PLATINA DE FIERRO 1 1/2 in X 3/16 in X 6 m,UNIDAD,0.0
34000240003,VARILLA DE FIERRO CORRUGADO DE 1/2 in X 9 m,UNIDAD,0.0
34000240005,VARILLA DE FIERRO CORRUGADO DE 3/8 in X 9 m,UNIDAD,0.0
34000240011,VARILLA DE FIERRO CORRUGADO DE 1/4 in X 9 m,UNIDAD,0.0
34000240066,VARILLA DE FIERRO CORRUGADO 1/2 in X 4.50 m,UNIDAD,0.0
34000240075,VARILLA DE FIERRO LISO DE 5/8 in X 6 m,UNIDAD,0.0
34000240082,VARILLA DE FIERRO CORRUGADO 3/8 in X 9 m,UNIDAD,0.0
34100010010,PLANCHA DE DURALUMINIO 3/16 in X 50 cm X 1.00 m,UNIDAD,0.0
34100010011,PLANCHA DE DURALUMINIO 1/4 in X 50 cm X 1.00 m,UNIDAD,0.0
34100010012,PLANCHA DE DURALUMINIO 1/8 in X 50 cm X 1.00 m,UNIDAD,0.0
34100010052,PLANCHA DE DURALUMINIO 4 mm X 50 cm X 1.00 m,UNIDAD,0.0
34100010053,PLANCHA DE DURALUMINIO 5 mm X 50 cm X 1.00 m,UNIDAD,0.0
34100050051,BARRA DE ALUMINIO 3 in X 1.00 m,UNIDAD,0.0
34100060169,PERFIL PARANTE DE ALUMINIO PARA DRYWALL 39 mm X 89 mm X 3.00 m,UNIDAD,0.0
34100060200,PERFIL PARANTE DE ALUMINIO PARA DRYWALL 0.45 mm X 38 mm X 64 mm X 3.00 m,UNIDAD,0.0
34100060205,PERFIL PARANTE DE ALUMINIO GALVANIZADO PARA DRYWALL 0.45 mm X 38 mm X 89 mm X 3.00 m,UNIDAD,0.0
34100070002,PLATINA DE DURALUMINIO DE 1/8 in X 1 1/2 in,METRO,0.0
34100070007,PLATINA DE ALUMINIO DE 1/8 in X 3/4 in,METRO,0.0
34100070011,PLATINA DE DURALUMINIO DE 3/16 in X 5/8 in,METRO,0.0
37700010012,PLANCHA DE HOJALATA GALVANIZADA 1/20 in X 1.20 m X 2.40 m,UNIDAD,0.0
42202400002,AGITADOR MAGNETICO CON PLANCHA DE CALENTAMIENTO,UNIDAD,0.0
42202400003,AGITADOR MAGNETICO CON CALENTADOR DIGITAL,UNIDAD,0.0
42202400004,AGITADOR MAGNETICO X 50 L,UNIDAD,0.0
42202400005,AGITADOR MAGNETICO X 30 L,UNIDAD,0.0
42202400006,AGITADOR MAGNETICO X 38 L,UNIDAD,0.0
42202400007,AGITADOR MAGNETICO X 25 L,UNIDAD,0.0
42202400008,AGITADOR MAGNETICO X 150 L,UNIDAD,0.0
42202400009,AGITADOR MAGNETICO X 10 L,UNIDAD,0.0
42202400010,AGITADOR MAGNETICO CON PLANCHA DE CALENTAMIENTO 26 cm X 26 cm,UNIDAD,0.0
42202400011,AGITADOR MAGNETICO CON PLANCHA DE CALENTAMIENTO 18 cm X 18 cm,UNIDAD,0.0
42202400012,AGITADOR MAGNETICO CON PLANCHA DE CALENTAMIENTO 12 cm X 45 cm,UNIDAD,0.0
42202400013,AGITADOR MAGNETICO X 200 L,UNIDAD,0.0
42202400014,AGITADOR MAGNETICO 15 L CON PLANCHA DE CALENTAMIENTO 15 cm CIRCULAR,UNIDAD,0.0
42202400015,AGITADOR MAGNETICO 15 L CON PLANCHA DE CALENTAMIENTO18 cm x 18 cm CUADRICULAR,UNIDAD,0.0
42202400020,AGITADOR MAGNETICO MÚLTIPLE DE ALTO RENDIMIENTO X 250 mL,UNIDAD,0.0
42202400026,AGITADOR MAGNETICO X 40 L,UNIDAD,0.0
42202400027,AGITADOR MAGNETICO 400 mL,UNIDAD,0.0
42202870001,AGITADOR MECANICO,UNIDAD,0.0
42203350001,ALIMENTADOR AUTOMATICO PARA PECES,UNIDAD,0.0
42204310001,ARADOS EN GENERAL,UNIDAD,0.0
42204310002,ARADO DE 3 DISCOS,UNIDAD,0.0
42205260001,BIOFILTRO,UNIDAD,0.0
42205730001,BOMBA DE PRESION,UNIDAD,0.0
42206210001,BRUJULA,UNIDAD,0.0
42206210007,BRUJULA DIGITAL,UNIDAD,0.0
42208120001,CAMARA BIOCLIMATICA,UNIDAD,0.0
42208120002,CAMARA BIOCLIMATICA DE 240 L,UNIDAD,0.0
42208120003,CAMARA BIOCLIMATICA DE 720 L,UNIDAD,0.0
42233810001,EQUIPO DE LAVADO Y FUMIGACION,UNIDAD,0.0
42248100001,FUMIGADORA EN GENERAL,UNIDAD,0.0
42248100002,FUMIGADORA MANUAL DE 2 L,UNIDAD,0.0
42248100008,FUMIGADORAS EN GENERAL - TERMONEBULIZADOR DE CAÑON LARGO,UNIDAD,0.0
42248100009,FUMIGADORA GENERADORA DE AEROSOL,UNIDAD,0.0
42253810001,HOMOGENIZADOR DE SEMILLA,UNIDAD,0.0
42257620001,INCUBADORA PARA ANIMALES,UNIDAD,0.0
42264750001,MEZCLADOR HOMOGENIZADOR HORIZONTAL,UNIDAD,0.0
42266180001,MOTOGUADAÑA,UNIDAD,0.0
42266180002,MOTOGUADAÑA DE DOS TIEMPOS,UNIDAD,0.0
42267130001,MOTOPULVERIZADOR,UNIDAD,0.0
42270940001,MOTOSIERRA,UNIDAD,0.0
42272850001,PICADORA DE CHALA,UNIDAD,0.0
42286170001,SEPARADOR DE GRANOS,UNIDAD,0.0
42286640001,SISTEMA DE DIGESTION POR MICROONDAS,UNIDAD,0.0
42287110001,SISTEMA DE FILTRACION,UNIDAD,0.0
46425250001,ESTANTE DE ACERO INOXIDABLE PARA CAMARA FRIGORIFICA,UNIDAD,0.0
46481500001,TANQUE CRIOGENICO DE METAL,UNIDAD,0.0
46482620001,TANQUE DE ACERO INOXIDABLE (MAYOR A 1/4 UIT),UNIDAD,0.0
46482620002,TANQUE DE ACERO INOXIDABLE (MAYOR A 1/4 UIT) 250 L,UNIDAD,0.0
